Brand	Flavor	Title	Price	Discount	M.R.P.	Volume	Quantity
Fresho	Coconut	Sponsoredfresho!100% Tender Coconut Water	109	39	180	NA	1
Fresho	Tender coconut	Sponsoredfresho!100% Tender Coconut Water	109	39	180	NA	1
Bisleri	Lime	Bisleri Limonata	80	0	80	NA	1
Bisleri	Mint	Bisleri Limonata	80	0	80	NA	1
Fresho	Coconut	Sponsoredfresho!Tender Coconut Water With Pulpy Malai	49	18	60	NA	1
Fresho	Tender coconut	Sponsoredfresho!Tender Coconut Water With Pulpy Malai	49	18	60	NA	1
Coca Cola	Cola	Coca ColaDiet Coke Soft Drink	240	0	240	NA	1
Paper Boat	Lychee	Paper BoatSwing Juicier Drink	60	0	60	NA	1
Coca Cola	Cola	Coca ColaSoft Drink	360	25	480	NA	1
Coca Cola	Cola	Coca ColaSoft Drink	30	25	40	NA	1
iD	Orange	Minute Maid Fruit Drink	138	23	180	NA	1
Bindu	Jeera	BinduFizz Jeera Masala Soda	20	0	20	NA	1
Bindu	Masala	BinduFizz Jeera Masala Soda	20	0	20	NA	1
Bindu	Soda	BinduFizz Jeera Masala Soda	20	0	20	NA	1
Thums Up	NA	Thums UpSoft Drink	902	6	960	NA	1
Fre	Mango	FrootiDrink	140	0	140	NA	1
Limca	Lemon	Limca Soft Drink	151	11	170	NA	1
Limca	Lime	Limca Soft Drink	151	11	170	NA	1
Sprite	Lime	SpriteSoft Drink	384	20	480	NA	1
Maaza	Mango	MaazaMango Fruit Drink	170	11	190	NA	1
ALPHA 8	Litchi	ALPHA 8Litchi Juice	30	0	30	NA	1
ALPHA 8	Natural	ALPHA 8Litchi Juice	30	0	30	NA	1
Bombay 99	Ginger	Bombay 99Ginger Ale	55	0	55	NA	1
Fanta	Orange	FantaSoft Drink	88	11	99	NA	1
Sepoy & Co	Ginger	Sepoy & Co.Original Ginger Ale	180	5	190	NA	1
Sepoy & Co	Natural	Sepoy & Co.Original Ginger Ale	180	5	190	NA	1
Appy Fizz	Apple	Appy FizzApple Juice Based Drink	90	0	90	NA	1
Coca Cola	Cola	Coca ColaSoft Drink	178	11	200	NA	1
Roohafza	NA	RoohafzaSharbat	340	0	340	NA	1
7 Up	NA	7 UpSoft Drink	160	20	200	NA	1
Tropicana	Apple	TropicanaFruit Juice	291	14	339	NA	1
Paper Boat	Mango	Paper BoatAam Panna Mango Drink	80	0	80	NA	1
Slice	Mango	Tropicana SliceMango Juice	186	6	198	NA	1
Appy Fizz	Apple	Appy FizzApple Juice Based Drink	140	0	140	NA	1
Bindu	Jeera	BinduSoda	80	0	80	NA	1
Bindu	Masala	BinduSoda	80	0	80	NA	1
Bindu	Soda	BinduSoda	80	0	80	NA	1
Pepsi	NA	PepsiBlack Soft Drink	94	10	105	NA	1
Appy	Apple	AppyJuice	37	8	40	NA	1
Paperboat Swing	NA	Paperboat SwingZesty Pomegranate Juice	120	5	126	NA	1
Real	NA	RealFruit Juice	739	12	840	NA	1
Tropicana	Mixed Fruit	TropicanaFruit Juice	226	10	250	NA	1
Tropicana	Mixed	TropicanaFruit Juice	226	10	250	NA	1
Fre	Cola	JST SODAGoli Soda	59	0	59	NA	1
Fre	Masala	JST SODAGoli Soda	59	0	59	NA	1
Fre	Soda	JST SODAGoli Soda	59	0	59	NA	1
Real	Orange	RealFruit Juice	38	5	40	NA	1
Kinley	Soda	KinleySparkling Water	60	0	60	NA	1
Raw Pressery	Lemon	Raw PresseryCold Extracted Juice	212	15	250	NA	1
Paperboat Swing	Mango	Paperboat SwingSlurpy Mango Juice	120	5	126	NA	1
Nescafe	Coffee	Nescafe Ready To Drink Coffee & Milk Beverage	101	25	135	NA	1
Bab Louie & Co.	Spiced	Bab Louie & Co.Aromatic Spiced Bitters	125	0	125	NA	1
Bab Louie & Co.	Orange	Bab Louie & Co.Orange Bitters	125	0	125	NA	1
Real	NA	RealActiv Fiber + Multi Fruit Beverage - No Added Sugars & Preservative	223	34	340	NA	1
