Brand	Flavor	Title	Price	Discount	M.R.P.	Volume	Quantity
RS	NA	FiltersCATEGORIESFood ProductsSoft Drink ProductsPrice.......Min₹200₹500₹2000₹5000₹10000to₹200₹500₹2000₹5000₹10000₹10000+?Brand	200	60	500	NA	1
Thums Up	NA	Thums Up PET Bottle	44	89	401	NA	1
Coca-Cola	Cola	Coca-Cola Original Taste Soft Drink PET Bottle	88	12	100	NA	1
Sprite	NA	sprite Plastic Bottle	100	38	160	NA	1
Fanta	NA	Fanta Plastic Bottle	425	15	499	NA	1
Zindagi	Coffee	Care of Zindagi Indusviva I Coffee Creamer Creamy Coffe	2839	5	2997	750 ml	1
Zindagi	Creamy	Care of Zindagi Indusviva I Coffee Creamer Creamy Coffe	2839	5	2997	750 ml	1
Sepoy & Co	Lemon	Sepoy & co Classic lemonade Box	570	5	599	NA	1
Budweiser 0.0	NA	Budweiser 0.0 NON-ALCOHOLIC TIN PACK OF 24 Tin	1720	20	2160	NA	1
NA	Apple	Budweiser Non alcoholic Green Apple Can	455	4	474	NA	1
NA	Green Apple	Budweiser Non alcoholic Green Apple Can	455	4	474	NA	1
Tang	Mango	TANG IMPORTED MANGO Pouch	440	37	699	NA	1
NA	NA	Coke Zero Plastic Bottle	2179	4	2280	NA	1
NA	NA	Reviews for Popular Soft Drink Products	541	39	881	NA	1
NA	Peach	Rio Peachberry Bubbly Fruit Drink Can | Exotic Drink + ...	470	13	540	12 x 250 ml	12
Pepsi	NA	Pepsi Soft Drink Plastic Bottle	69	31	100	NA	1
Appy Fizz	NA	Appy Fizz PET Bottle	88	85	601	NA	1
NA	NA	Rio Passion Swing Bubbly Fruit Drink Can 	540	81	2799	12 x 250 ml	12
NA	Orange	PII ELECTROLYTE ORANGE FLAVOUR	518	9	570	15 x 200 ML	15
NA	NA	Budweiser Non Alcoholic Beer	489	25	649	NA	1
Coca-Cola	Cola	Coca-Cola Original Taste Soft Drink Can	402	65	1140	NA	1
NA	NA	Budweiser Non Alcoholic Beer	449	10	499	330ml	1
